# {"t_start": 1587789559.7062473, "env_id": "DartHopperPT-v1"} 
r,l,t
-1.397851,6,3.304529
-6.309982,5,3.30647
-2.901969,6,3.306482
-5.222671,4,3.310457
-4.788238,5,3.310732
3.135989,13,3.312629
-3.424827,5,3.31273
-7.558371,6,3.314809
-6.543588,5,3.31484
-1.223872,4,3.314958
-2.464194,2,3.315004
-3.09419,3,3.32069
-2.269988,7,3.320906
-2.362979,5,3.321016
-2.014267,4,3.321063
-2.813474,4,3.324078
-4.6099,5,3.326997
-3.394268,7,3.329502
-2.625253,4,3.332389
-5.076784,5,3.334351
-3.037562,4,3.336328
-4.714913,4,3.338375
1.032403,10,3.338533
1.934949,8,3.340405
-0.566345,9,3.342617
-3.911368,6,3.344637
-6.32319,5,3.346802
-3.834052,4,3.349124
-2.030903,3,3.349265
-3.714671,12,3.351323
-3.14771,6,3.351392
-7.913898,9,3.353384
-2.567631,4,3.353637
-1.210995,9,3.357612
-3.099119,3,3.359597
-6.295784,6,3.359662
-4.011304,5,3.359891
-7.791508,8,3.365895
-3.079689,5,3.369987
-6.199701,6,3.371911
-0.750228,9,3.372025
-6.476248,10,3.372249
-1.04319,6,3.372277
-10.453907,8,3.374107
-7.866445,5,3.376413
-3.773831,4,3.380567
-2.821266,4,3.380696
-7.499397,6,3.382824
-4.530323,5,3.382891
-2.31691,6,3.386851
-3.838344,8,3.388899
-1.923696,4,3.389069
-1.113881,4,3.39116
-5.229153,5,3.391268
-0.877036,8,3.393532
-2.515781,3,3.395486
-6.893571,6,3.39553
-1.564401,5,3.399338
-4.225875,6,3.399523
-2.542659,4,3.399607
-2.60579,3,3.401705
-1.974365,5,3.40171
-3.910827,5,3.403899
10.223467,26,3.405754
-2.995074,5,3.409659
-4.752464,7,3.40992
-3.05365,5,3.412033
-4.697769,7,3.413991
-5.262253,6,3.414175
-3.247559,4,3.417877
-3.121033,7,3.418429
-3.121774,4,3.420501
-9.039681,9,3.424443
-10.81062,12,3.424494
-7.483861,7,3.42826
-2.728802,2,3.428514
-3.177154,5,3.430329
-2.991086,6,3.430374
1.770006,9,3.432456
-5.062418,9,3.436414
-3.676016,3,3.436532
-3.035243,4,3.436629
-6.302205,14,3.438504
-3.632203,3,3.438534
-5.468458,5,3.44606
-3.061209,9,3.446166
-5.633094,7,3.450159
-3.622931,3,3.452051
1.550282,14,3.452085
-5.621849,7,3.452171
0.379535,11,3.458042
-4.209024,3,3.458209
3.49661,15,3.460354
-3.482491,5,3.460566
-6.540881,12,3.462705
-7.720799,9,3.464883
-1.927127,4,3.466912
-5.957407,7,3.467219
-2.937504,8,3.469111
-1.899744,5,3.469161
-4.816539,6,3.473374
-2.391782,5,3.473646
0.294669,5,3.475508
-2.236312,3,3.475772
-1.147589,8,3.477964
-4.229286,6,3.479835
-5.516132,5,3.479935
